price,product_name
"449,00 zł","Zasilacz awaryjny (UPS) EATON UPS 3S (700VA/420W 8x FR, USB)"
"245,00 zł","Zasilacz awaryjny (UPS) Ever DUO 550 AVR (550VA/330W, 4xIEC, USB, AVR)"
"419,00 zł","Szafa RACK Lanberg Wisząca 19"" 9U 600x450mm jednosekcyjna (czarna)"
"269,00 zł","Zasilacz awaryjny (UPS) EATON 5E (650VA/360W, Schuko, 2xIEC, USB, AVR)"
"519,00 zł","Zasilacz awaryjny (UPS) APC Back-UPS (950VA/480W, 6xIEC, RJ-11, USB, AVR)"
"359,00 zł","Zasilacz awaryjny (UPS) Ever EASYLINE 850 AVR (850VA/480W, 2xPL, USB, AVR, LCD)"
"399,00 zł","Szafa RACK ExtraLink Wisząca 19"" 12U 600x600mm (czarna)"
"7 100,00 zł",Desktop x-kom G4M3R 500 i5-10400F/16GB/960/W10X/RTX3060
"9 800,00 zł",Desktop x-kom G4M3R 500 i7-10700KF/32GB/960/W10X/RTX3070
"9 950,00 zł",Desktop x-kom G4M3R 500 i7-10700KF/32GB/960/W10PX/RTX3070
"9 100,00 zł",Desktop x-kom G4M3R 500 i7-10700KF/16GB/240+1TB/W10X/RTX3070
"20 800,00 zł",Desktop x-kom G4M3R 600 i9-10900K/64GB/500+1TB/W10PX/RTX3090
"7 950,00 zł",Desktop x-kom G4M3R 500 R5-5600X/16GB/960/W10X/RX6700XT
"6 650,00 zł",Desktop x-kom G4M3R 500 i5-10400F/16GB/960/RTX3060
"10 900,00 zł",Desktop x-kom G4M3R 500 R7-5800X/32GB/240+960/W10X/RTX3070
"6 200,00 zł",Desktop x-kom G4M3R 500 i5-10400F/16GB/960/W10X/RTX2060
"16 050,00 zł",Desktop x-kom G4M3R 600 i9-10900K/32GB/500+1TB/W10PX/RTX3080
"7 250,00 zł",Desktop x-kom G4M3R 500 i5-10400F/16GB/960/W10PX/RTX3060
"9 250,00 zł",Desktop x-kom G4M3R 500 i7-10700KF/16GB/240+1TB/W10PX/RTX3070
"14 250,00 zł",Desktop x-kom G4M3R 600 i9-10900K/64GB/500+1TB/W10X/RTX3070
"13 650,00 zł",Desktop x-kom G4M3R 600 i9-10900K/32GB/500+1TB/W10PX/RTX3070
"16 800,00 zł",Desktop x-kom G4M3R 600 i9-10900K/64GB/500+1TB/W10PX/RTX3080
"11 050,00 zł",Desktop x-kom G4M3R 500 R7-5800X/32GB/240+960/W10PX/RTX3070
"7 300,00 zł",Desktop x-kom G4M3R 500 i7-9700K/32GB/1TB/W10X/RTX2060
"9 450,00 zł",Desktop x-kom G4M3R 500 i7-10700F/16GB/2TB/W10PX/RTX3060Ti
"9 300,00 zł",Desktop x-kom G4M3R 500 i7-10700F/16GB/2TB/W10X/RTX3060Ti
"8 850,00 zł",Desktop x-kom G4M3R 500 i7-10700F/16GB/2TB/RTX3060Ti
"8 250,00 zł",Desktop x-kom G4M3R 500 i7-10700F/16GB/1TB/W10PX/RTX3060
"8 100,00 zł",Desktop x-kom G4M3R 500 i7-10700F/16GB/1TB/W10X/RTX3060
"7 650,00 zł",Desktop x-kom G4M3R 500 i7-10700F/16GB/1TB/RTX3060
"9 700,00 zł",Desktop x-kom G4M3R 500 i7-10700KF/32GB/960/W10X/RTX3070
"6 350,00 zł",Desktop x-kom G4M3R 500 i5-10400F/16GB/960/W10PX/RTX2060
"5 750,00 zł",Desktop x-kom G4M3R 500 i5-10400F/16GB/960/RTX2060
"20 650,00 zł",Desktop x-kom G4M3R 600 i9-10900K/64GB/500+1TB/W10X/RTX3090
"20 200,00 zł",Desktop x-kom G4M3R 600 i9-10900K/64GB/500+1TB/RTX3090
"20 050,00 zł",Desktop x-kom G4M3R 600 i9-10900K/32GB/500+1TB/W10PX/RTX3090
"19 900,00 zł",Desktop x-kom G4M3R 600 i9-10900K/32GB/500+1TB/W10X/RTX3090
"7 100,00 zł",Desktop x-kom G4M3R 500 i5-10400F/16GB/960/W10X/RTX3060
"2 899,00 zł",Desktop Dell Vostro 3681 SFF i5-10400/16GB/512/Win10P
"2 499,00 zł",Desktop Dell Vostro 3681 SFF i5-10400/8GB/256/Win10P
"9 800,00 zł",Desktop x-kom G4M3R 500 i7-10700KF/32GB/960/W10X/RTX3070
"2 449,00 zł",Desktop Lenovo V50t i5-10400/8GB/256/Win10P
"2 799,00 zł",All-in-One HP 24 AiO i3-10100T/8GB/256/Win10 White
"4 599,00 zł",All-in-One Dell Inspiron 5400 i7-1165G7/16GB/256+1TB/Win10P MX330
"3 899,00 zł",All-in-One Dell Inspiron 5400 i5-1135G7/16GB/512/Win10
"4 699,00 zł",All-in-One Dell Inspiron 5400 i7-1165G7/16GB/256+1TB/Win10 MX330
"2 949,00 zł",Desktop Dell Vostro 3888 MT i5-10400/16GB/480+1TB/Win10P
"4 099,00 zł",All-in-One Dell Inspiron 5400 i5-1135G7/16GB/512/Win10P MX330
"3 249,00 zł",All-in-One HP 24 AiO i5-10400T/16GB/512/Win10 Black
"2 899,00 zł",Desktop Dell Vostro 3888 MT i5-10400/16GB/512/Win10P
"2 149,00 zł",Desktop Dell Vostro 3681 SFF i3-10100/8GB/256/Win10P
"2 199,00 zł",All-in-One HP 24 AiO Athlon 3150U/8GB/256/Win10 IPS Black
"5 699,00 zł",Nettop/Mini-PC Apple Mac Mini M1/16GB/512GB SSD
"2 199,00 zł",Desktop Fujitsu ESPRIMO D738 i3/16GB/512/Win10P 5lat NBD
"2 949,00 zł",All-in-One HP 24 AiO i3-10100T/16GB/256/Win10 White
"2 699,00 zł",Desktop Dell Vostro 3681 SFF i5-10400/8GB/512/Win10P
"4 699,00 zł",Nettop/Mini-PC Apple Mac Mini M1/16GB/256GB SSD
"2 699,00 zł",Desktop Dell Vostro 3888 MT i5-10400/16GB/256/Win10P
"3 549,00 zł",All-in-One HP 27 AiO Ryzen 5-4500/16GB/512/Win10
"2 499,00 zł",Desktop Dell Vostro 3888 MT i5-10400/8GB/256/Win10P
"3 149,00 zł",Desktop Dell Vostro 3681 SFF i5-10400/16GB/512+1TB/Win10P
"1 699,00 zł",All-in-One HP 24 AiO Athlon 3150U/8GB/256 IPS White
"539,00 zł",Nettop/Mini-PC ASUS VivoStick PC TS10 Atom Z8350/2GB/32GB/Win10P
"2 749,00 zł",Desktop Dell Vostro 3681 SFF i5-10400/16GB/256/Win10P
"1 789,00 zł","Nettop/Mini-PC Intel NUC i5-10210U 2.5""SATA M.2 BOX"
"3 699,00 zł",All-in-One Dell Inspiron 5400 i5-1135G7/8GB/512/Win10
"3 699,00 zł",Desktop Dell Vostro 3681 SFF i7-10700/16GB/512/Win10P
"3 499,00 zł","Notebook / Laptop 15,6"" Lenovo IdeaPad Flex 5-15 i7-1065G7/8GB/512/Win10 Touch"
"4 599,00 zł",Laptop 2 w 1 Dell Inspiron 5406 i7-1165G7/16GB/512/Win10 MX330
"1 699,00 zł",Laptop 2 w 1 Microsoft Surface Go 2 Y/4GB/64GB/Win10
"3 699,00 zł","Notebook / Laptop 14,1"" Lenovo IdeaPad Flex 5-14 Ryzen 7/16GB/512/Win10 Touch"
"3 499,00 zł",Laptop 2 w 1 Dell Inspiron 5406 i5-1135G7/8GB/256/Win10
"3 699,00 zł",Laptop 2 w 1 Dell Inspiron 5406 i5-1135G7/16GB/256/Win10
"2 999,00 zł",Laptop 2 w 1 Dell Inspiron 5406 i3-1115G4/8GB/256/Win10
"3 899,00 zł","Notebook / Laptop 13,3"" ASUS ZenBook 13 UX363JA i5-1035G1/8GB/512/W10"
"4 199,00 zł",Laptop 2 w 1 Microsoft Surface Pro 7 i5/8GB/128/Win10 Platynowy
"4 399,00 zł",Laptop 2 w 1 Dell Inspiron 5406 i7-1165G7/16GB/512/Win10 MX330
"4 399,00 zł",Laptop 2 w 1 Dell Inspiron 5406 i7-1165G7/16GB/512/Win10
"3 549,00 zł",Laptop 2 w 1 Dell Inspiron 5406 i5-1135G7/16GB/256/Win10
"3 999,00 zł","Notebook / Laptop 14,1"" Lenovo IdeaPad Flex 5-14 Ryzen 7/16GB/1TB/Win10 Touch"
"6 199,00 zł","Notebook / Laptop 13,3"" ASUS ROG Flow X13 GV301 R7-5800HS/16GB/512/W10 GTX1650"
"325,00 zł",Odtwarzacz multimedialny Google Chromecast 4.0 biały Google TV
"129,00 zł",Karta dźwiękowa Creative Sound BlasterX G1 (USB)
"119,00 zł",Pendrive (pamięć USB) Samsung 128GB BAR Plus Titan Gray 400MB/s
"3 999,00 zł",Laptop 2 w 1 Dell Inspiron 5406 i5-1135G7/16GB/512/Win10
"3 879,00 zł","Notebook / Laptop 13,3"" HP ENVY 13 x360 Ryzen 5-4500/8GB/512/Win10"
"4 299,00 zł",Laptop 2 w 1 Dell Inspiron 5406 i7-1165G7/16GB/512/Win10
"4 049,00 zł","Notebook / Laptop 15,6"" HP ENVY 15 x360 Ryzen 5-4500/16GB/512/Win10 Touch"
"4 399,00 zł",Laptop 2 w 1 Dell Inspiron 5406 i5-1135G7/16GB/512/Win10P MX330
"4 199,00 zł",Laptop 2 w 1 Dell Inspiron 5406 i5-1135G7/16GB/512/Win10P
"5 099,00 zł","Notebook / Laptop 15,6"" HP ENVY 15 x360 i7-1165G7/16GB/512/Win10 Silver"
"8 199,00 zł","Notebook / Laptop 13,3"" HP Spectre 14 x360 i7-1165G7/16GB/1TB/W10 Blue OLED"
"9 999,00 zł","Notebook / Laptop 15,6"" HP Spectre 15 x360 i7-10750/16GB/1TB/Win10P 1650Ti"
"5 099,00 zł","Notebook / Laptop 15,6"" HP ENVY 15 x360 Ryzen 7-4700/32GB/960/Win10 Black"
"4 599,00 zł","Notebook / Laptop 15,6"" HP ENVY 15 x360 Ryzen 7-4700/16GB/512/Win10 Black"
"8 399,00 zł","Notebook / Laptop 15,6"" HP Spectre 15 x360 i7-1165G7/16GB/1TB/Win10 Black"
"3 899,00 zł","Notebook / Laptop 13,3"" HP ENVY 13 x360 Ryzen 5-4500/8GB/512/Win10"
"8 199,00 zł","Notebook / Laptop 13,3"" HP Spectre 14 x360 i7-1165G7/16GB/1TB/W10 Black OLED"
"8 399,00 zł","Notebook / Laptop 15,6"" HP Spectre 15 x360 i7-1165G7/16GB/1TB/Win10 Blue"
"4 799,00 zł","Notebook / Laptop 15,6"" HP ENVY 15 x360 Ryzen 7-4700/16GB/960/Win10 Black"
"139,00 zł",Odtwarzacz multimedialny Google Chromecast 3.0 czarny OEM
"299,00 zł",Odtwarzacz multimedialny Xiaomi Mi TV Box S
"169,00 zł",Odtwarzacz multimedialny Xiaomi Mi TV Stick EU
"169,00 zł",Odtwarzacz multimedialny Google Chromecast 3.0 czarny
"189,00 zł",Odtwarzacz multimedialny Amazon Fire TV Stick 4K
"209,00 zł",Odtwarzacz multimedialny Google Chromecast Ultra 4K Black OEM
"679,00 zł",Odtwarzacz multimedialny Apple TV HD 32GB
"948,00 zł",Odtwarzacz multimedialny Apple TV 4K 64GB
"149,00 zł",Odtwarzacz multimedialny Amazon Fire TV Stick lite + Pilot
"99,00 zł",Odtwarzacz multimedialny Apple Remote TV
"999,00 zł",Odtwarzacz multimedialny Apple TV 4K 64GB
"899,00 zł",Odtwarzacz multimedialny Apple TV 4K 32GB
"749,00 zł",Odtwarzacz multimedialny Apple TV HD 32GB
"59,00 zł",Karta dźwiękowa MAONO AU-AD304
"159,00 zł",Karta dźwiękowa Creative Sound Blaster Audigy FX (PCI-E)
"89,00 zł",Karta dźwiękowa Creative Sound Blaster Play 3 zewnętrzna (USB)
"59,00 zł",Karta dźwiękowa Unitek Y-247A USB stereo
"629,00 zł",Karta dźwiękowa Creative Sound Blaster X AE-5 Plus
"349,00 zł",Wzmacniacz słuchawkowy FiiO E10K Olympus 2
"739,00 zł",Karta dźwiękowa Creative Sound Blaster X G6
"79,99 zł",Karta dźwiękowa Sharkoon Mobile DAC
"579,00 zł",Karta dźwiękowa Creative Sound BlasterX G5
"109,99 zł",Karta dźwiękowa Sharkoon Mobile DAC PD
"119,99 zł",Karta dźwiękowa Sharkoon Stojak z kartą dźwiękową X-Rest 7.1
"359,00 zł",Karta dźwiękowa Sennheiser GSX 300 Snow Edition
"359,00 zł",Karta dźwiękowa Sennheiser GSX 300
"599,00 zł","Karta dźwiękowa ASTRO MixAmp Pro TR Xbox One, PC"
"1 079,00 zł",Wzmacniacz słuchawkowy Sennheiser GSX 1200 PRO
"64,00 zł","Torba na laptopa Targus Classic 15-16"""
"289,00 zł",Dysk zewnętrzny HDD WD Elements Portable 2TB USB 3.0 Czarny
"199,00 zł",Dysk zewnętrzny HDD WD Elements Portable 1TB USB 3.0 Czarny
"15,99 zł",Zaślepka na kamerę laptopa 3mk Zaślepka na Kamerę Privacy Slider czarny
"209,00 zł",Dysk zewnętrzny HDD Silicon Power Armor A60 1TB USB 3.0 Czarno-Zielony
"159,99 zł","Podstawka chłodząca pod laptop Cooler Master Chłodząca NotePal U3 Plus (13 do 17"", czarna)"
"99,00 zł","Torba na laptopa Targus Classic+ 17-18"""
"129,00 zł","Plecak na laptopa Targus Urban Essential 15.6"" Backpack Black"
"415,00 zł",Dysk zewnętrzny HDD WD Elements Portable 4TB USB 3.0 Czarny
"39,00 zł",Pendrive (pamięć USB) Kingston 64GB DataTraveler 100 G3 (USB 3.0)
"299,00 zł",Dysk zewnętrzny SSD Samsung Portable SSD T5 500GB USB 3.1 Niebieski
"159,99 zł",Pendrive (pamięć USB) SanDisk 256GB Ultra Dual Drive Luxe USB Type-C 150MB/s
"275,00 zł",Dysk zewnętrzny HDD Toshiba Canvio Basics 2TB USB 3.0 Czarny
"109,99 zł","Podstawka chłodząca pod laptop SilentiumPC Stolik Atlas NT-L10 (aluminium, do 17,3"", czarna)"
"144,99 zł","Stacja dokująca do laptopa Green Cell USB-C - 3xUSB, HDMI, SD (4K, DeX)"
"84,00 zł",Karta dźwiękowa Roccat JUKE 7.1
"1 699,00 zł","Telewizor 50"" - 54"" Samsung UE50TU7102"
"199,00 zł",Dysk zewnętrzny HDD Toshiba Canvio Basics 1TB USB 3.0 Czarny
"29,00 zł",Pendrive (pamięć USB) SanDisk 32GB Ultra Flair (USB 3.0)
"24,99 zł",Pendrive (pamięć USB) Kingston 32GB DataTraveler 100 G3 (USB 3.0)
"59,00 zł",Torba na laptopa Dell Essential Briefcase 15
"199,00 zł",Pamięć RAM SODIMM DDR4 HyperX 8GB (1x8GB) 2666MHz CL15 Impact Black
"69,99 zł",Podstawka chłodząca pod laptop KRUX Laptop Stand
"179,00 zł",Pamięć RAM SODIMM DDR4 GOODRAM 8GB (1x8GB) 3200MHz CL22
"349,00 zł",Dysk zewnętrzny SSD SanDisk Extreme Portable SSD 500GB USB 3.1 Granatowy
"19,00 zł",Pendrive (pamięć USB) Kingston 32GB DataTraveler Exodia (USB 3.2 Gen 1)
"179,99 zł","Stacja dokująca do laptopa Green Cell USB-C - USB-C, 3xUSB, HDMI, RJ-45"
"119,99 zł","Podstawka chłodząca pod laptop Trust GXT 278 Yozu (do 17.3"", 4 wentylatory, czarna)"
"29,00 zł",Pendrive (pamięć USB) GOODRAM 64GB UTS2 odczyt 20MB/s USB 2.0 czarny
"79,00 zł","Torba na laptopa Targus Classic+ 15-15.6"""
"39,00 zł","Etui na laptopa Lenovo Ultra Slim Sleeve 14"""
"2 399,00 zł","Telewizor 55"" - 59"" Samsung UE55TU8502"
"1 499,00 zł","Telewizor 33"" - 43"" Xiaomi Mi LED TV 4S 43"""
"839,00 zł","Telewizor 32"" i mniejszy Xiaomi Mi LED TV 4A 32"""
"2 649,00 zł","Telewizor 50"" - 54"" Philips 50PUS8804"
"889,00 zł","Telewizor 32"" i mniejszy Philips 24PFS6805"
"3 499,00 zł","Telewizor 55"" - 59"" Samsung QE55Q74TA"
"2 799,00 zł",Telewizor 60” i większy Samsung UE65TU7102
"2 849,00 zł",Telewizor 60” i większy Philips 65PUS7805
"2 159,00 zł","Telewizor 50"" - 54"" Philips 50PUS7805"
"1 590,00 zł","Telewizor 50"" - 54"" Philips 50PUS7555"
"4 199,00 zł","Telewizor 55"" - 59"" Philips 55PUS9435"
"1 999,00 zł","Telewizor 55"" - 59"" Samsung UE55TU7122"
"1 965,00 zł","Telewizor 55"" - 59"" Philips 58PUS7555"
"2 650,00 zł",Telewizor 60” i większy Samsung UE65TU7192
"1 799,00 zł","Telewizor 33"" - 43"" Philips 43PUS7805"
"2 090,00 zł","Telewizor 55"" - 59"" Xiaomi Mi LED TV 4S 55"""
"2 599,00 zł","Telewizor 55"" - 59"" Samsung QE55Q65TA"
"2 699,00 zł","Telewizor 55"" - 59"" Samsung QE55Q67TA"
"2 599,00 zł","Telewizor 50"" - 54"" Samsung QE50Q67TA"
"3 499,00 zł","Telewizor 55"" - 59"" Samsung QE55Q77TA"
"2 499,00 zł","Telewizor 55"" - 59"" Philips 58PUS7805"
"649,00 zł","Telewizor 32"" i mniejszy Philips 24PFS5525"
"3 589,00 zł","Telewizor 55"" - 59"" Sony KE-55XH9005"
"1 989,00 zł","Telewizor 50"" - 54"" TCL 50C715"
